Good\179.bmp  1  0 0 588 171
Good\18.bmp  1  0 0 517 166
Good\180.bmp  1  0 0 437 142
Good\181.bmp  1  0 0 341 71
Good\182.bmp  1  0 0 222 112
Good\183.bmp  1  0 0 471 229
Good\184.bmp  1  0 0 1190 264
Good\185.bmp  1  0 0 1190 264
Good\19.bmp  1  0 0 185 52
Good\2.bmp  1  0 0 583 155
Good\20.bmp  1  0 0 337 75
Good\21.bmp  1  0 0 573 155
Good\22.bmp  1  0 0 334 59
Good\23.bmp  1  0 0 333 95
Good\24.bmp  1  0 0 303 61
Good\25.bmp  1  0 0 312 74
Good\26.bmp  1  0 0 532 168
Good\27.bmp  1  0 0 411 90
Good\28.bmp  1  0 0 356 75
Good\29.bmp  1  0 0 328 110
Good\3.bmp  1  0 0 425 166
Good\30.bmp  1  0 0 467 107
Good\31.bmp  1  0 0 531 178
Good\32.bmp  1  0 0 281 72
Good\33.bmp  1  0 0 662 142
Good\34.bmp  1  0 0 221 62
Good\35.bmp  1  0 0 467 129
Good\36.bmp  1  0 0 235 54
Good\37.bmp  1  0 0 1392 382
Good\38.bmp  1  0 0 933 213
Good\39.bmp  1  0 0 331 65
Good\4.bmp  1  0 0 337 112
Good\40.bmp  1  0 0 374 77
Good\41.bmp  1  0 0 345 63
Good\42.bmp  1  0 0 464 136
Good\43.bmp  1  0 0 445 114
Good\44.bmp  1  0 0 341 76
Good\45.bmp  1  0 0 305 74
Good\46.bmp  1  0 0 290 102
Good\47.bmp  1  0 0 256 77
Good\48.bmp  1  0 0 615 184
Good\49.bmp  1  0 0 421 122
Good\5.bmp  1  0 0 541 131
Good\50.bmp  1  0 0 766 173
Good\51.bmp  1  0 0 372 128
Good\52.bmp  1  0 0 313 65
Good\53.bmp  1  0 0 368 87
Good\54.bmp  1  0 0 276 83
Good\55.bmp  1  0 0 192 77
Good\56.bmp  1  0 0 204 76
Good\57.bmp  1  0 0 308 115
Good\58.bmp  1  0 0 236 72
Good\59.bmp  1  0 0 219 71
Good\6.bmp  1  0 0 290 92
Good\60.bmp  1  0 0 1024 350
Good\61.bmp  1  0 0 215 85
Good\62.bmp  1  0 0 195 56
Good\63.bmp  1  0 0 391 128
Good\64.bmp  1  0 0 326 112
Good\65.bmp  1  0 0 332 64
Good\66.bmp  1  0 0 378 109
Good\67.bmp  1  0 0 520 166
Good\68.bmp  1  0 0 560 140
Good\69.bmp  1  0 0 2224 795
Good\7.bmp  1  0 0 332 138
Good\70.bmp  1  0 0 959 163
Good\71.bmp  1  0 0 1129 316
Good\72.bmp  1  0 0 294 54
Good\73.bmp  1  0 0 518 116
Good\74.bmp  1  0 0 256 55
Good\75.bmp  1  0 0 354 103
Good\76.bmp  1  0 0 325 123
Good\77.bmp  1  0 0 508 138
Good\78.bmp  1  0 0 407 94
Good\79.bmp  1  0 0 444 77
Good\8.bmp  1  0 0 420 224
Good\80.bmp  1  0 0 538 140
Good\81.bmp  1  0 0 1201 285
Good\82.bmp  1  0 0 435 103
Good\83.bmp  1  0 0 1424 382
Good\84.bmp  1  0 0 434 131
Good\85.bmp  1  0 0 1203 260
Good\86.bmp  1  0 0 921 187
Good\87.bmp  1  0 0 1722 381
Good\88.bmp  1  0 0 328 66
Good\89.bmp  1  0 0 458 90
Good\9.bmp  1  0 0 343 151
Good\90.bmp  1  0 0 308 69
Good\91.bmp  1  0 0 485 173
Good\92.bmp  1  0 0 411 100
Good\93.bmp  1  0 0 442 113
Good\94.bmp  1  0 0 311 65
Good\95.bmp  1  0 0 349 84
Good\96.bmp  1  0 0 335 84
Good\97.bmp  1  0 0 421 116
Good\98.bmp  1  0 0 258 46
Good\99.bmp  1  0 0 291 59
